l_ear,l_forehead,r_forehead,r_ear,ch5,ch6
815.934065934066,817.948717948718,843.7362637362637,853.0036630036631,nan,nan
818.7545787545788,818.3516483516484,842.1245421245421,852.6007326007326,nan,nan
811.9047619047619,819.1575091575091,843.7362637362637,847.7655677655678,nan,nan
811.9047619047619,818.7545787545788,844.5421245421246,841.7216117216118,nan,nan
810.2930402930403,820.3663003663004,847.3626373626374,854.6153846153846,nan,nan
806.2637362637363,823.1868131868132,850.1831501831502,849.7802197802198,nan,nan
821.978021978022,825.2014652014652,846.959706959707,837.2893772893773,nan,nan
822.7838827838829,826.007326007326,843.3333333333334,842.1245421245421,nan,nan
820.3663003663004,822.3809523809524,846.1538461538462,852.1978021978023,nan,nan
825.2014652014652,822.3809523809524,847.7655677655678,848.1684981684982,nan,nan
818.7545787545788,826.4102564102565,846.959706959707,842.9304029304029,nan,nan
805.4578754578755,824.7985347985348,847.3626373626374,846.5567765567765,nan,nan
813.1135531135532,821.5750915750916,845.3479853479854,835.6776556776557,nan,nan
821.1721611721612,825.2014652014652,846.1538461538462,834.4688644688645,nan,nan
814.3223443223443,827.2161172161173,848.5714285714286,840.5128205128206,nan,nan
819.5604395604396,823.992673992674,843.7362637362637,839.7069597069598,nan,nan
823.992673992674,825.6043956043957,841.7216117216118,857.032967032967,nan,nan
828.021978021978,825.6043956043957,848.1684981684982,866.3003663003664,nan,nan
834.0659340659341,823.992673992674,848.5714285714286,850.989010989011,nan,nan
828.8278388278388,825.6043956043957,840.1098901098901,829.6336996336996,nan,nan
816.3369963369963,824.3956043956044,842.1245421245421,829.6336996336996,nan,nan
828.8278388278388,824.7985347985348,844.5421245421246,834.4688644688645,nan,nan
836.886446886447,825.6043956043957,843.7362637362637,828.021978021978,nan,nan
834.4688644688645,825.2014652014652,842.1245421245421,840.9157509157509,nan,nan
832.4542124542124,825.6043956043957,842.5274725274726,838.901098901099,nan,nan
834.8717948717949,823.5897435897436,840.9157509157509,830.0366300366301,nan,nan
837.6923076923077,825.2014652014652,839.7069597069598,836.4835164835165,nan,nan
827.2161172161173,823.992673992674,840.9157509157509,838.4981684981685,nan,nan
818.7545787545788,821.1721611721612,842.5274725274726,832.8571428571429,nan,nan
819.5604395604396,820.7692307692308,842.5274725274726,834.4688644688645,nan,nan
819.5604395604396,820.7692307692308,839.3040293040293,832.0512820512821,nan,nan
827.2161172161173,820.3663003663004,837.2893772893773,834.4688644688645,nan,nan
827.6190476190476,818.3516483516484,838.4981684981685,836.886446886447,nan,nan
815.934065934066,820.3663003663004,837.6923076923077,832.8571428571429,nan,nan
814.3223443223443,817.5457875457876,840.5128205128206,840.1098901098901,nan,nan
815.1282051282052,813.5164835164835,843.3333333333334,838.901098901099,nan,nan
812.3076923076924,815.934065934066,842.5274725274726,837.6923076923077,nan,nan
811.0989010989011,815.5311355311355,844.5421245421246,846.1538461538462,nan,nan
819.1575091575091,814.3223443223443,845.7509157509157,848.1684981684982,nan,nan
817.948717948718,814.3223443223443,845.3479853479854,844.1391941391942,nan,nan
813.5164835164835,815.934065934066,843.3333333333334,853.8095238095239,nan,nan
820.7692307692308,815.934065934066,844.1391941391942,842.9304029304029,nan,nan
820.3663003663004,815.5311355311355,844.1391941391942,834.4688644688645,nan,nan
